Seed,Input,Table,Output
290129780,3737742548,water-to-light,3551698969
290129780,3551698969,light-to-temperature,2279002790
290129780,2279002790,temperature-to-humidity,2279002790
290129780,2279002790,humidity-to-location,2926997052
7039123,7039123,seed-to-soil,1794902506
7039123,1794902506,soil-to-fertilizer,3513547302
7039123,3513547302,fertilizer-to-water,4286744483
7039123,4286744483,water-to-light,4286744483
7039123,4286744483,light-to-temperature,2658925947
7039123,2658925947,temperature-to-humidity,2658925947
7039123,2658925947,humidity-to-location,1015409893
3334326492,3334326492,seed-to-soil,3719908868
3334326492,3719908868,soil-to-fertilizer,3719908868
3334326492,3719908868,fertilizer-to-water,3296622981
3334326492,3296622981,water-to-light,3296920257
3334326492,3296920257,light-to-temperature,3563569227
3334326492,3563569227,temperature-to-humidity,4115096334
3334326492,4115096334,humidity-to-location,3315197680
246125391,246125391,seed-to-soil,2535168358
246125391,2535168358,soil-to-fertilizer,3209718271
246125391,3209718271,fertilizer-to-water,4167026196
246125391,4167026196,water-to-light,4167026196
246125391,4167026196,light-to-temperature,3754663887
246125391,3754663887,temperature-to-humidity,2840434858
246125391,2840434858,humidity-to-location,3101317175
