Game,Set,Result,RGB,Red,Green,Blue,Valid
29,1," 16 red, 4 green, 4 blue","[16, 4, 4]",16,4,4,False
30,1," 3 green, 6 blue","[0, 3, 6]",0,3,6,True
31,1," 11 red, 2 green, 3 blue","[11, 2, 3]",11,2,3,True
32,1," 4 red, 2 blue, 5 green","[4, 5, 2]",4,5,2,True
33,1," 18 blue, 3 green, 3 red","[3, 3, 18]",3,3,18,False
34,1," 5 red, 2 blue, 16 green","[5, 16, 2]",5,16,2,False
35,1," 7 blue, 5 red","[5, 0, 7]",5,0,7,True
36,1, 14 blue,"[0, 0, 14]",0,0,14,True
37,1," 8 red, 13 green, 5 blue","[8, 13, 5]",8,13,5,True
38,1," 2 red, 1 blue, 10 green","[2, 10, 1]",2,10,1,True
39,1," 1 blue, 5 red","[5, 0, 1]",5,0,1,True
40,1," 9 blue, 4 green","[0, 4, 9]",0,4,9,True
41,1," 1 blue, 14 red, 12 green","[14, 12, 1]",14,12,1,False
42,1," 4 green, 13 red, 9 blue","[13, 4, 9]",13,4,9,False
43,1," 7 red, 6 blue","[7, 0, 6]",7,0,6,True
44,1," 5 red, 8 blue","[5, 0, 8]",5,0,8,True
45,1," 3 blue, 7 green, 1 red","[1, 7, 3]",1,7,3,True
46,1," 4 red, 4 blue, 17 green","[4, 17, 4]",4,17,4,False
47,1," 14 red, 3 green, 2 blue","[14, 3, 2]",14,3,2,False
48,1," 5 red, 12 blue, 2 green","[5, 2, 12]",5,2,12,True
49,1," 6 blue, 11 red","[11, 0, 6]",11,0,6,True
50,1," 12 blue, 3 green, 1 red","[1, 3, 12]",1,3,12,True
51,1," 12 green, 1 blue, 8 red","[8, 12, 1]",8,12,1,True
52,1," 5 blue, 1 green","[0, 1, 5]",0,1,5,True
53,1," 11 green, 5 red","[5, 11, 0]",5,11,0,True
54,1," 6 green, 4 blue, 8 red","[8, 6, 4]",8,6,4,True
55,1," 11 blue, 1 green","[0, 1, 11]",0,1,11,True
56,1," 1 red, 9 blue, 1 green","[1, 1, 9]",1,1,9,True
57,1," 1 green, 17 blue","[0, 1, 17]",0,1,17,False
58,1," 2 blue, 4 green, 2 red","[2, 4, 2]",2,4,2,True
59,1," 8 blue, 2 red, 2 green","[2, 2, 8]",2,2,8,True
60,1," 3 red, 2 blue, 6 green","[3, 6, 2]",3,6,2,True
61,1," 6 green, 4 blue","[0, 6, 4]",0,6,4,True
62,1," 1 green, 2 red","[2, 1, 0]",2,1,0,True
63,1," 8 green, 4 red, 4 blue","[4, 8, 4]",4,8,4,True
64,1," 5 blue, 2 green, 5 red","[5, 2, 5]",5,2,5,True
65,1," 2 red, 7 green, 5 blue","[2, 7, 5]",2,7,5,True
66,1," 1 green, 6 red","[6, 1, 0]",6,1,0,True
67,1," 6 red, 8 blue, 8 green","[6, 8, 8]",6,8,8,True
68,1," 7 green, 9 red, 15 blue","[9, 7, 15]",9,7,15,False
69,1, 4 green,"[0, 4, 0]",0,4,0,True
70,1," 6 blue, 16 green, 4 red","[4, 16, 6]",4,16,6,False
71,1," 6 blue, 7 red","[7, 0, 6]",7,0,6,True
72,1," 13 red, 13 blue","[13, 0, 13]",13,0,13,False
73,1," 1 red, 1 green, 8 blue","[1, 1, 8]",1,1,8,True
74,1," 2 blue, 1 green, 1 red","[1, 1, 2]",1,1,2,True
75,1," 10 red, 1 green, 4 blue","[10, 1, 4]",10,1,4,True
76,1," 4 blue, 3 green, 11 red","[11, 3, 4]",11,3,4,True
77,1," 2 red, 10 blue, 6 green","[2, 6, 10]",2,6,10,True
78,1," 3 green, 10 red","[10, 3, 0]",10,3,0,True
79,1," 4 green, 2 red","[2, 4, 0]",2,4,0,True
80,1, 2 green,"[0, 2, 0]",0,2,0,True
81,1," 4 green, 2 blue, 4 red","[4, 4, 2]",4,4,2,True
82,1," 4 blue, 8 green, 5 red","[5, 8, 4]",5,8,4,True
83,1," 2 blue, 2 green, 10 red","[10, 2, 2]",10,2,2,True
84,1," 12 blue, 9 green, 10 red","[10, 9, 12]",10,9,12,True
85,1," 2 red, 4 blue","[2, 0, 4]",2,0,4,True
86,1," 2 red, 3 blue, 1 green","[2, 1, 3]",2,1,3,True
87,1," 1 red, 7 blue, 9 green","[1, 9, 7]",1,9,7,True
88,1," 1 blue, 14 red, 9 green","[14, 9, 1]",14,9,1,False
89,1," 13 red, 1 green","[13, 1, 0]",13,1,0,False
90,1," 1 red, 2 blue, 9 green","[1, 9, 2]",1,9,2,True
91,1," 2 red, 8 green, 8 blue","[2, 8, 8]",2,8,8,True
92,1," 8 green, 12 blue, 4 red","[4, 8, 12]",4,8,12,True
93,1," 1 green, 1 red, 2 blue","[1, 1, 2]",1,1,2,True
94,1," 2 blue, 7 red, 17 green","[7, 17, 2]",7,17,2,False
95,1," 4 blue, 3 green, 4 red","[4, 3, 4]",4,3,4,True
96,1," 6 red, 3 blue","[6, 0, 3]",6,0,3,True
97,1," 3 green, 1 red, 13 blue","[1, 3, 13]",1,3,13,True
98,1," 1 green, 8 red, 7 blue","[8, 1, 7]",8,1,7,True
99,1," 9 blue, 14 red","[14, 0, 9]",14,0,9,False
100,1," 12 blue, 2 green","[0, 2, 12]",0,2,12,True
1,2," 5 green, 3 red, 5 blue","[3, 5, 5]",3,5,5,True
2,2," 9 green, 4 red, 2 blue","[4, 9, 2]",4,9,2,True
3,2," 2 blue, 5 green, 2 red","[2, 5, 2]",2,5,2,True
4,2," 7 green, 13 red","[13, 7, 0]",13,7,0,False
5,2," 8 blue, 7 green","[0, 7, 8]",0,7,8,True
6,2," 8 green, 1 blue, 8 red","[8, 8, 1]",8,8,1,True
7,2," 1 blue, 3 red, 6 green","[3, 6, 1]",3,6,1,True
8,2," 5 green, 8 blue, 2 red","[2, 5, 8]",2,5,8,True
9,2," 16 red, 1 green, 7 blue","[16, 1, 7]",16,1,7,False
10,2," 5 green, 3 blue","[0, 5, 3]",0,5,3,True
11,2," 14 green, 1 blue, 3 red","[3, 14, 1]",3,14,1,False
12,2," 11 green, 1 blue","[0, 11, 1]",0,11,1,True
13,2," 9 red, 7 blue","[9, 0, 7]",9,0,7,True
14,2," 1 green, 13 blue, 1 red","[1, 1, 13]",1,1,13,True
15,2," 4 red, 18 green","[4, 18, 0]",4,18,0,False
16,2," 12 red, 5 blue","[12, 0, 5]",12,0,5,True
17,2," 3 blue, 1 green, 2 red","[2, 1, 3]",2,1,3,True
18,2," 1 green, 4 blue","[0, 1, 4]",0,1,4,True
19,2," 10 red, 6 blue, 11 green","[10, 11, 6]",10,11,6,True
20,2," 10 green, 1 red, 4 blue","[1, 10, 4]",1,10,4,True
21,2, 2 blue,"[0, 0, 2]",0,0,2,True
22,2," 1 green, 4 blue, 8 red","[8, 1, 4]",8,1,4,True
23,2," 9 green, 15 red","[15, 9, 0]",15,9,0,False
24,2," 2 blue, 1 green, 2 red","[2, 1, 2]",2,1,2,True
25,2," 7 red, 6 green","[7, 6, 0]",7,6,0,True
26,2," 1 blue, 1 red, 6 green","[1, 6, 1]",1,6,1,True
27,2," 3 blue, 1 red","[1, 0, 3]",1,0,3,True
28,2," 3 red, 14 blue, 1 green","[3, 1, 14]",3,1,14,True
29,2," 3 green, 5 blue, 11 red","[11, 3, 5]",11,3,5,True
30,2," 18 green, 3 blue","[0, 18, 3]",0,18,3,False
31,2," 10 green, 11 blue, 15 red","[15, 10, 11]",15,10,11,False
32,2," 7 blue, 15 red","[15, 0, 7]",15,0,7,False
33,2," 3 green, 6 red","[6, 3, 0]",6,3,0,True
34,2," 9 red, 10 blue, 3 green","[9, 3, 10]",9,3,10,True
35,2," 3 red, 1 blue","[3, 0, 1]",3,0,1,True
36,2," 10 blue, 1 green","[0, 1, 10]",0,1,10,True
37,2," 11 red, 16 green, 8 blue","[11, 16, 8]",11,16,8,False
38,2," 7 red, 6 blue, 14 green","[7, 14, 6]",7,14,6,False
39,2," 9 red, 9 green","[9, 9, 0]",9,9,0,True
40,2," 12 green, 1 red","[1, 12, 0]",1,12,0,True
41,2," 16 green, 2 blue, 3 red","[3, 16, 2]",3,16,2,False
42,2," 9 green, 9 red, 4 blue","[9, 9, 4]",9,9,4,True
43,2, 4 green,"[0, 4, 0]",0,4,0,True
44,2," 2 red, 5 green","[2, 5, 0]",2,5,0,True
45,2," 5 red, 1 blue","[5, 0, 1]",5,0,1,True
46,2," 1 blue, 5 green, 1 red","[1, 5, 1]",1,5,1,True
47,2," 4 green, 4 red, 2 blue","[4, 4, 2]",4,4,2,True
48,2," 3 blue, 1 red, 2 green","[1, 2, 3]",1,2,3,True
49,2," 11 red, 17 blue, 11 green","[11, 11, 17]",11,11,17,False
50,2," 3 green, 10 blue, 3 red","[3, 3, 10]",3,3,10,True
51,2," 6 blue, 1 green, 9 red","[9, 1, 6]",9,1,6,True
52,2," 1 red, 1 green, 3 blue","[1, 1, 3]",1,1,3,True
53,2," 16 green, 6 blue","[0, 16, 6]",0,16,6,False
54,2," 7 red, 6 green, 5 blue","[7, 6, 5]",7,6,5,True
55,2," 2 red, 5 blue, 1 green","[2, 1, 5]",2,1,5,True
56,2," 2 red, 8 blue","[2, 0, 8]",2,0,8,True
57,2," 10 blue, 2 green","[0, 2, 10]",0,2,10,True
58,2, 5 blue,"[0, 0, 5]",0,0,5,True
59,2," 15 blue, 1 green, 4 red","[4, 1, 15]",4,1,15,False
60,2," 1 red, 5 green","[1, 5, 0]",1,5,0,True
61,2," 1 red, 4 blue, 15 green","[1, 15, 4]",1,15,4,False
62,2, 4 red,"[4, 0, 0]",4,0,0,True
63,2," 5 red, 4 blue, 8 green","[5, 8, 4]",5,8,4,True
64,2," 3 green, 2 blue, 1 red","[1, 3, 2]",1,3,2,True
65,2," 8 blue, 3 green, 4 red","[4, 3, 8]",4,3,8,True
66,2," 5 red, 1 green, 1 blue","[5, 1, 1]",5,1,1,True
67,2," 5 green, 2 red, 10 blue","[2, 5, 10]",2,5,10,True
68,2," 4 green, 6 red, 3 blue","[6, 4, 3]",6,4,3,True
69,2, 2 blue,"[0, 0, 2]",0,0,2,True
70,2," 6 green, 13 red, 2 blue","[13, 6, 2]",13,6,2,False
71,2," 10 blue, 2 green, 4 red","[4, 2, 10]",4,2,10,True
72,2," 6 red, 10 blue, 7 green","[6, 7, 10]",6,7,10,True
73,2," 1 green, 8 blue","[0, 1, 8]",0,1,8,True
74,2," 3 blue, 1 red, 1 green","[1, 1, 3]",1,1,3,True
75,2," 12 red, 11 blue, 9 green","[12, 9, 11]",12,9,11,True
76,2," 4 blue, 1 green, 12 red","[12, 1, 4]",12,1,4,True
77,2," 6 blue, 2 red, 8 green","[2, 8, 6]",2,8,6,True
78,2," 2 blue, 4 red, 3 green","[4, 3, 2]",4,3,2,True
79,2," 2 red, 14 green","[2, 14, 0]",2,14,0,False
80,2," 3 green, 13 red, 10 blue","[13, 3, 10]",13,3,10,False
81,2," 16 red, 1 blue, 20 green","[16, 20, 1]",16,20,1,False
82,2," 14 red, 8 blue, 1 green","[14, 1, 8]",14,1,8,False
83,2," 10 green, 4 red, 3 blue","[4, 10, 3]",4,10,3,True
84,2," 1 red, 6 green, 4 blue","[1, 6, 4]",1,6,4,True
85,2," 4 blue, 1 green, 6 red","[6, 1, 4]",6,1,4,True
86,2," 2 blue, 2 red, 2 green","[2, 2, 2]",2,2,2,True
87,2," 3 green, 2 blue","[0, 3, 2]",0,3,2,True
88,2," 4 green, 9 red","[9, 4, 0]",9,4,0,True
89,2," 2 blue, 10 red","[10, 0, 2]",10,0,2,True
90,2," 1 blue, 3 red, 2 green","[3, 2, 1]",3,2,1,True
91,2," 3 green, 2 red, 6 blue","[2, 3, 6]",2,3,6,True
92,2," 7 red, 4 green","[7, 4, 0]",7,4,0,True
93,2," 3 green, 1 red, 3 blue","[1, 3, 3]",1,3,3,True
94,2," 2 green, 1 blue, 5 red","[5, 2, 1]",5,2,1,True
95,2," 17 red, 2 blue","[17, 0, 2]",17,0,2,False
96,2," 7 green, 5 blue, 10 red","[10, 7, 5]",10,7,5,True
97,2," 1 red, 8 green, 2 blue","[1, 8, 2]",1,8,2,True
98,2," 8 blue, 8 red, 3 green","[8, 3, 8]",8,3,8,True
99,2," 3 blue, 10 red, 5 green","[10, 5, 3]",10,5,3,True
100,2," 2 green, 4 red, 13 blue","[4, 2, 13]",4,2,13,True
1,3," 5 green, 9 red, 6 blue","[9, 5, 6]",9,5,6,True
2,3," 4 green, 3 blue","[0, 4, 3]",0,4,3,True
3,3," 2 red, 3 blue, 11 green","[2, 11, 3]",2,11,3,True
4,3," 2 blue, 5 green, 7 red","[7, 5, 2]",7,5,2,True
5,3," 1 red, 10 blue","[1, 0, 10]",1,0,10,True
6,3," 9 green, 1 red, 3 blue","[1, 9, 3]",1,9,3,True
7,3," 4 blue, 3 red, 15 green","[3, 15, 4]",3,15,4,False
8,3," 5 red, 6 blue, 7 green","[5, 7, 6]",5,7,6,True
9,3," 11 red, 3 green, 7 blue","[11, 3, 7]",11,3,7,True
10,3," 1 red, 7 green, 3 blue","[1, 7, 3]",1,7,3,True
11,3, 13 green,"[0, 13, 0]",0,13,0,True
12,3," 2 red, 1 blue","[2, 0, 1]",2,0,1,True
13,3," 7 blue, 4 red","[4, 0, 7]",4,0,7,True
14,3," 4 blue, 1 red, 4 green","[1, 4, 4]",1,4,4,True
15,3," 8 green, 1 blue","[0, 8, 1]",0,8,1,True
16,3," 6 red, 3 green, 14 blue","[6, 3, 14]",6,3,14,True
17,3," 4 green, 3 red, 2 blue","[3, 4, 2]",3,4,2,True
18,3, 1 blue,"[0, 0, 1]",0,0,1,True
19,3," 5 blue, 7 red, 8 green","[7, 8, 5]",7,8,5,True
20,3," 13 green, 5 red, 9 blue","[5, 13, 9]",5,13,9,True
21,3," 5 green, 1 blue","[0, 5, 1]",0,5,1,True
22,3," 2 blue, 8 red","[8, 0, 2]",8,0,2,True
23,3," 3 red, 8 blue, 15 green","[3, 15, 8]",3,15,8,False
24,3," 3 green, 1 blue, 1 red","[1, 3, 1]",1,3,1,True
25,3," 10 red, 1 blue, 8 green","[10, 8, 1]",10,8,1,True
26,3," 9 red, 6 green, 2 blue","[9, 6, 2]",9,6,2,True
27,3," 1 green, 1 red, 9 blue","[1, 1, 9]",1,1,9,True
28,3," 11 blue, 11 green","[0, 11, 11]",0,11,11,True
29,3," 7 blue, 8 red, 1 green","[8, 1, 7]",8,1,7,True
30,3," 14 green, 11 blue","[0, 14, 11]",0,14,11,False
31,3," 12 green, 17 blue, 5 red","[5, 12, 17]",5,12,17,False
32,3," 11 blue, 4 green, 8 red","[8, 4, 11]",8,4,11,True
33,3," 2 blue, 4 red, 1 green","[4, 1, 2]",4,1,2,True
34,3," 8 red, 10 green, 13 blue","[8, 10, 13]",8,10,13,True
35,3," 4 blue, 7 red, 1 green","[7, 1, 4]",7,1,4,True
36,3," 10 blue, 4 green","[0, 4, 10]",0,4,10,True
37,3," 2 green, 10 blue, 11 red","[11, 2, 10]",11,2,10,True
38,3," 18 red, 1 blue, 5 green","[18, 5, 1]",18,5,1,False
39,3," 4 blue, 10 green, 4 red","[4, 10, 4]",4,10,4,True
40,3," 2 red, 15 green, 10 blue","[2, 15, 10]",2,15,10,False
41,3," 6 green, 9 red","[9, 6, 0]",9,6,0,True
42,3," 7 blue, 10 red, 9 green","[10, 9, 7]",10,9,7,True
43,3," 3 red, 6 green","[3, 6, 0]",3,6,0,True
44,3," 6 green, 11 blue, 2 red","[2, 6, 11]",2,6,11,True
45,3," 2 blue, 3 red","[3, 0, 2]",3,0,2,True
46,3," 1 red, 1 blue, 7 green","[1, 7, 1]",1,7,1,True
47,3," 13 red, 1 blue","[13, 0, 1]",13,0,1,False
48,3," 10 blue, 7 red","[7, 0, 10]",7,0,10,True
49,3," 16 blue, 12 green, 6 red","[6, 12, 16]",6,12,16,False
50,3," 11 blue, 3 red","[3, 0, 11]",3,0,11,True
51,3," 17 red, 5 blue","[17, 0, 5]",17,0,5,False
52,3," 8 blue, 1 green","[0, 1, 8]",0,1,8,True
53,3," 4 red, 19 green, 4 blue","[4, 19, 4]",4,19,4,False
54,3," 5 blue, 4 red","[4, 0, 5]",4,0,5,True
55,3," 10 blue, 1 green","[0, 1, 10]",0,1,10,True
56,3," 1 green, 9 blue, 10 red","[10, 1, 9]",10,1,9,True
57,3," 2 red, 16 blue","[2, 0, 16]",2,0,16,False
58,3," 5 red, 3 green, 2 blue","[5, 3, 2]",5,3,2,True
59,3," 9 blue, 1 red","[1, 0, 9]",1,0,9,True
60,3," 2 blue, 10 green","[0, 10, 2]",0,10,2,True
61,3," 1 blue, 16 green, 3 red","[3, 16, 1]",3,16,1,False
62,3," 1 green, 4 red, 1 blue","[4, 1, 1]",4,1,1,True
63,3," 3 green, 1 blue","[0, 3, 1]",0,3,1,True
64,3," 6 blue, 2 red, 1 green","[2, 1, 6]",2,1,6,True
65,3," 1 red, 6 green, 1 blue","[1, 6, 1]",1,6,1,True
66,3," 4 red, 1 blue, 1 green","[4, 1, 1]",4,1,1,True
67,3," 4 red, 1 green","[4, 1, 0]",4,1,0,True
68,3," 1 blue, 5 green, 4 red","[4, 5, 1]",4,5,1,True
69,3," 4 green, 8 blue, 11 red","[11, 4, 8]",11,4,8,True
70,3," 7 green, 1 red, 2 blue","[1, 7, 2]",1,7,2,True
71,3," 12 red, 10 blue, 1 green","[12, 1, 10]",12,1,10,True
72,3," 3 blue, 5 green, 4 red","[4, 5, 3]",4,5,3,True
73,3," 2 green, 6 blue","[0, 2, 6]",0,2,6,True
74,3," 3 blue, 2 red","[2, 0, 3]",2,0,3,True
75,3," 18 green, 14 red, 5 blue","[14, 18, 5]",14,18,5,False
76,3," 11 blue, 2 green, 4 red","[4, 2, 11]",4,2,11,True
77,3," 1 red, 9 green, 7 blue","[1, 9, 7]",1,9,7,True
78,3," 8 red, 3 blue, 4 green","[8, 4, 3]",8,4,3,True
79,3," 1 blue, 5 green, 8 red","[8, 5, 1]",8,5,1,True
80,3," 6 blue, 10 red, 1 green","[10, 1, 6]",10,1,6,True
81,3," 7 blue, 10 red, 9 green","[10, 9, 7]",10,9,7,True
82,3," 11 red, 13 green","[11, 13, 0]",11,13,0,True
83,3," 11 green, 14 red, 4 blue","[14, 11, 4]",14,11,4,False
84,3," 7 red, 3 green, 16 blue","[7, 3, 16]",7,3,16,False
85,3," 9 blue, 1 red","[1, 0, 9]",1,0,9,True
86,3," 10 blue, 2 green","[0, 2, 10]",0,2,10,True
87,3," 1 red, 4 blue, 10 green","[1, 10, 4]",1,10,4,True
88,3," 8 green, 1 blue, 10 red","[10, 8, 1]",10,8,1,True
89,3," 1 green, 3 blue, 13 red","[13, 1, 3]",13,1,3,False
90,3," 10 green, 9 red","[9, 10, 0]",9,10,0,True
91,3," 5 green, 4 red","[4, 5, 0]",4,5,0,True
92,3," 4 blue, 7 green, 7 red","[7, 7, 4]",7,7,4,True
93,3," 1 red, 8 blue","[1, 0, 8]",1,0,8,True
94,3," 3 blue, 7 green, 1 red","[1, 7, 3]",1,7,3,True
95,3," 6 blue, 16 green, 15 red","[15, 16, 6]",15,16,6,False
96,3," 9 green, 1 blue","[0, 9, 1]",0,9,1,True
97,3," 1 green, 2 blue, 2 red","[2, 1, 2]",2,1,2,True
98,3," 1 blue, 2 red","[2, 0, 1]",2,0,1,True
99,3," 3 blue, 3 green, 6 red","[6, 3, 3]",6,3,3,True
100,3," 9 blue, 1 red, 2 green","[1, 2, 9]",1,2,9,True
1,4," 3 blue, 3 green","[0, 3, 3]",0,3,3,True
2,4," 2 blue, 3 red","[3, 0, 2]",3,0,2,True
3,4," 2 red, 8 green, 7 blue","[2, 8, 7]",2,8,7,True
4,4," 6 green, 2 red","[2, 6, 0]",2,6,0,True
7,4," 11 green, 2 blue, 2 red","[2, 11, 2]",2,11,2,True
8,4," 6 green, 6 red, 3 blue","[6, 6, 3]",6,6,3,True
10,4," 1 blue, 6 green","[0, 6, 1]",0,6,1,True
11,4," 3 green, 2 red","[2, 3, 0]",2,3,0,True
12,4," 1 blue, 2 red, 3 green","[2, 3, 1]",2,3,1,True
14,4," 2 blue, 5 red, 13 green","[5, 13, 2]",5,13,2,True
15,4," 3 red, 15 green, 2 blue","[3, 15, 2]",3,15,2,False
16,4," 8 red, 10 blue, 6 green","[8, 6, 10]",8,6,10,True
18,4, 5 blue,"[0, 0, 5]",0,0,5,True
19,4," 9 blue, 6 green, 5 red","[5, 6, 9]",5,6,9,True
21,4," 2 green, 11 red","[11, 2, 0]",11,2,0,True
22,4," 4 green, 14 red","[14, 4, 0]",14,4,0,False
24,4," 3 blue, 1 red","[1, 0, 3]",1,0,3,True
25,4," 8 green, 4 red","[4, 8, 0]",4,8,0,True
29,4," 1 green, 10 red, 4 blue","[10, 1, 4]",10,1,4,True
30,4," 7 blue, 2 red, 17 green","[2, 17, 7]",2,17,7,False
31,4," 5 green, 2 red, 12 blue","[2, 5, 12]",2,5,12,True
33,4," 3 green, 5 red, 3 blue","[5, 3, 3]",5,3,3,True
35,4," 4 red, 4 blue, 1 green","[4, 1, 4]",4,1,4,True
36,4," 4 blue, 1 green, 1 red","[1, 1, 4]",1,1,4,True
38,4," 5 green, 5 blue, 13 red","[13, 5, 5]",13,5,5,False
39,4," 3 green, 11 red, 1 blue","[11, 3, 1]",11,3,1,True
42,4," 4 green, 18 blue, 14 red","[14, 4, 18]",14,4,18,False
43,4," 7 blue, 6 green, 8 red","[8, 6, 7]",8,6,7,True
44,4," 1 green, 1 blue, 2 red","[2, 1, 1]",2,1,1,True
45,4," 8 green, 5 red","[5, 8, 0]",5,8,0,True
46,4," 18 green, 7 blue","[0, 18, 7]",0,18,7,False
51,4," 7 blue, 9 green, 9 red","[9, 9, 7]",9,9,7,True
52,4," 1 green, 7 blue","[0, 1, 7]",0,1,7,True
54,4," 5 blue, 14 red","[14, 0, 5]",14,0,5,False
55,4, 11 blue,"[0, 0, 11]",0,0,11,True
56,4," 5 blue, 1 green","[0, 1, 5]",0,1,5,True
57,4," 6 green, 15 blue","[0, 6, 15]",0,6,15,False
58,4," 5 red, 2 green, 5 blue","[5, 2, 5]",5,2,5,True
59,4," 3 green, 5 red, 5 blue","[5, 3, 5]",5,3,5,True
60,4," 6 green, 2 red","[2, 6, 0]",2,6,0,True
61,4," 6 red, 12 green, 2 blue","[6, 12, 2]",6,12,2,True
62,4," 1 red, 1 blue, 1 green","[1, 1, 1]",1,1,1,True
64,4," 2 green, 2 blue, 3 red","[3, 2, 2]",3,2,2,True
66,4," 1 blue, 2 red, 1 green","[2, 1, 1]",2,1,1,True
67,4," 7 blue, 2 green","[0, 2, 7]",0,2,7,True
68,4," 9 green, 14 red, 6 blue","[14, 9, 6]",14,9,6,False
69,4," 3 green, 9 red, 4 blue","[9, 3, 4]",9,3,4,True
70,4," 8 green, 4 blue, 1 red","[1, 8, 4]",1,8,4,True
72,4," 8 green, 9 blue","[0, 8, 9]",0,8,9,True
73,4, 2 blue,"[0, 0, 2]",0,0,2,True
74,4," 3 blue, 1 red","[1, 0, 3]",1,0,3,True
76,4," 2 blue, 2 green, 11 red","[11, 2, 2]",11,2,2,True
78,4," 1 blue, 7 red","[7, 0, 1]",7,0,1,True
79,4," 4 red, 20 green","[4, 20, 0]",4,20,0,False
80,4," 10 green, 12 red, 3 blue","[12, 10, 3]",12,10,3,True
81,4," 7 blue, 2 green, 14 red","[14, 2, 7]",14,2,7,False
83,4," 2 blue, 11 red","[11, 0, 2]",11,0,2,True
84,4," 3 green, 3 blue","[0, 3, 3]",0,3,3,True
85,4," 1 green, 4 blue, 10 red","[10, 1, 4]",10,1,4,True
86,4," 5 green, 4 red, 6 blue","[4, 5, 6]",4,5,6,True
87,4," 10 green, 7 blue, 1 red","[1, 10, 7]",1,10,7,True
89,4," 1 green, 14 red, 3 blue","[14, 1, 3]",14,1,3,False
90,4," 1 red, 9 green, 4 blue","[1, 9, 4]",1,9,4,True
92,4," 7 blue, 5 green","[0, 5, 7]",0,5,7,True
93,4," 1 green, 13 blue","[0, 1, 13]",0,1,13,True
94,4," 6 red, 1 blue, 1 green","[6, 1, 1]",6,1,1,True
95,4," 7 blue, 17 green","[0, 17, 7]",0,17,7,False
96,4," 6 blue, 1 red, 12 green","[1, 12, 6]",1,12,6,True
97,4," 1 red, 4 green, 9 blue","[1, 4, 9]",1,4,9,True
98,4," 4 red, 7 blue","[4, 0, 7]",4,0,7,True
100,4," 2 green, 3 red, 1 blue","[3, 2, 1]",3,2,1,True
2,5," 5 red, 3 blue, 9 green","[5, 9, 3]",5,9,3,True
8,5," 7 blue, 8 red, 6 green","[8, 6, 7]",8,6,7,True
10,5," 2 green, 4 blue","[0, 2, 4]",0,2,4,True
11,5," 3 red, 1 blue, 2 green","[3, 2, 1]",3,2,1,True
12,5," 1 blue, 2 red, 3 green","[2, 3, 1]",2,3,1,True
14,5," 3 blue, 4 green, 6 red","[6, 4, 3]",6,4,3,True
15,5," 1 red, 15 green","[1, 15, 0]",1,15,0,False
16,5," 7 green, 10 red, 17 blue","[10, 7, 17]",10,7,17,False
18,5," 1 green, 3 red, 6 blue","[3, 1, 6]",3,1,6,True
19,5," 8 red, 12 green, 8 blue","[8, 12, 8]",8,12,8,True
21,5," 2 red, 4 green","[2, 4, 0]",2,4,0,True
22,5," 1 blue, 5 red, 2 green","[5, 2, 1]",5,2,1,True
24,5," 2 green, 5 blue","[0, 2, 5]",0,2,5,True
25,5," 6 green, 10 red","[10, 6, 0]",10,6,0,True
29,5," 2 green, 4 blue, 8 red","[8, 2, 4]",8,2,4,True
30,5," 1 red, 12 green, 7 blue","[1, 12, 7]",1,12,7,True
31,5," 13 blue, 13 green, 4 red","[4, 13, 13]",4,13,13,True
