Hand,Bid,Type,Type Sort,Hand Tuple,Hand Sort,Rank,Winnings
68597,583,HC,6,"('6', '8', '5', '9', '7')","(8, 6, 9, 5, 7)",67,39061
692A8,514,HC,6,"('6', '9', '2', 'A', '8')","(8, 5, 12, 0, 6)",68,34952
69J37,132,HC,6,"('6', '9', 'J', '3', '7')","(8, 5, 3, 11, 7)",69,9108
69Q2A,660,HC,6,"('6', '9', 'Q', '2', 'A')","(8, 5, 2, 12, 0)",70,46200
69A3K,142,HC,6,"('6', '9', 'A', '3', 'K')","(8, 5, 0, 11, 1)",71,10082
6T235,816,HC,6,"('6', 'T', '2', '3', '5')","(8, 4, 12, 11, 9)",72,58752
6TA94,508,HC,6,"('6', 'T', 'A', '9', '4')","(8, 4, 0, 5, 10)",73,37084
6J48T,578,HC,6,"('6', 'J', '4', '8', 'T')","(8, 3, 10, 6, 4)",74,42772
6JQ73,224,HC,6,"('6', 'J', 'Q', '7', '3')","(8, 3, 2, 7, 11)",75,16800
6Q5JA,985,HC,6,"('6', 'Q', '5', 'J', 'A')","(8, 2, 9, 3, 0)",76,74860
6Q7TA,137,HC,6,"('6', 'Q', '7', 'T', 'A')","(8, 2, 7, 4, 0)",77,10549
6K753,690,HC,6,"('6', 'K', '7', '5', '3')","(8, 1, 7, 9, 11)",78,53820
6KQ35,543,HC,6,"('6', 'K', 'Q', '3', '5')","(8, 1, 2, 11, 9)",79,42897
74K3Q,286,HC,6,"('7', '4', 'K', '3', 'Q')","(7, 10, 1, 11, 2)",80,22880
7534K,426,HC,6,"('7', '5', '3', '4', 'K')","(7, 9, 11, 10, 1)",81,34506
7569T,292,HC,6,"('7', '5', '6', '9', 'T')","(7, 9, 8, 5, 4)",82,23944
75K46,651,HC,6,"('7', '5', 'K', '4', '6')","(7, 9, 1, 10, 8)",83,54033
75A24,75,HC,6,"('7', '5', 'A', '2', '4')","(7, 9, 0, 12, 10)",84,6300
7634K,905,HC,6,"('7', '6', '3', '4', 'K')","(7, 8, 11, 10, 1)",85,76925
76Q53,987,HC,6,"('7', '6', 'Q', '5', '3')","(7, 8, 2, 9, 11)",86,84882
78T36,777,HC,6,"('7', '8', 'T', '3', '6')","(7, 6, 4, 11, 8)",87,67599
79TA5,199,HC,6,"('7', '9', 'T', 'A', '5')","(7, 5, 4, 0, 9)",88,17512
7T529,135,HC,6,"('7', 'T', '5', '2', '9')","(7, 4, 9, 12, 5)",89,12015
7T6K8,412,HC,6,"('7', 'T', '6', 'K', '8')","(7, 4, 8, 1, 6)",90,37080
7TA4J,62,HC,6,"('7', 'T', 'A', '4', 'J')","(7, 4, 0, 10, 3)",91,5642
7J4T6,775,HC,6,"('7', 'J', '4', 'T', '6')","(7, 3, 10, 4, 8)",92,71300
7QK25,696,HC,6,"('7', 'Q', 'K', '2', '5')","(7, 2, 1, 12, 9)",93,64728
824J5,938,HC,6,"('8', '2', '4', 'J', '5')","(6, 12, 10, 3, 9)",94,88172
82594,41,HC,6,"('8', '2', '5', '9', '4')","(6, 12, 9, 5, 10)",95,3895
8273K,303,HC,6,"('8', '2', '7', '3', 'K')","(6, 12, 7, 11, 1)",96,29088
832TQ,822,HC,6,"('8', '3', '2', 'T', 'Q')","(6, 11, 12, 4, 2)",97,79734
83KQA,312,HC,6,"('8', '3', 'K', 'Q', 'A')","(6, 11, 1, 2, 0)",98,30576
842J9,455,HC,6,"('8', '4', '2', 'J', '9')","(6, 10, 12, 3, 5)",99,45045
84QJ9,867,HC,6,"('8', '4', 'Q', 'J', '9')","(6, 10, 2, 3, 5)",100,86700
85637,553,HC,6,"('8', '5', '6', '3', '7')","(6, 9, 8, 11, 7)",101,55853
8567K,254,HC,6,"('8', '5', '6', '7', 'K')","(6, 9, 8, 7, 1)",102,25908
869J7,83,HC,6,"('8', '6', '9', 'J', '7')","(6, 8, 5, 3, 7)",103,8549
87A4T,308,HC,6,"('8', '7', 'A', '4', 'T')","(6, 7, 0, 10, 4)",104,32032
8TJ3K,202,HC,6,"('8', 'T', 'J', '3', 'K')","(6, 4, 3, 11, 1)",105,21210
8J29Q,523,HC,6,"('8', 'J', '2', '9', 'Q')","(6, 3, 12, 5, 2)",106,55438
8J472,895,HC,6,"('8', 'J', '4', '7', '2')","(6, 3, 10, 7, 12)",107,95765
8Q7JT,328,HC,6,"('8', 'Q', '7', 'J', 'T')","(6, 2, 7, 3, 4)",108,35424
8K457,965,HC,6,"('8', 'K', '4', '5', '7')","(6, 1, 10, 9, 7)",109,105185
8A357,762,HC,6,"('8', 'A', '3', '5', '7')","(6, 0, 11, 9, 7)",110,83820
9365T,627,HC,6,"('9', '3', '6', '5', 'T')","(5, 11, 8, 9, 4)",111,69597
94A5T,579,HC,6,"('9', '4', 'A', '5', 'T')","(5, 10, 0, 9, 4)",112,64848
958TQ,248,HC,6,"('9', '5', '8', 'T', 'Q')","(5, 9, 6, 4, 2)",113,28024
95JQ4,498,HC,6,"('9', '5', 'J', 'Q', '4')","(5, 9, 3, 2, 10)",114,56772
974QT,604,HC,6,"('9', '7', '4', 'Q', 'T')","(5, 7, 10, 2, 4)",115,69460
9JTQ3,819,HC,6,"('9', 'J', 'T', 'Q', '3')","(5, 3, 4, 2, 11)",116,95004
9Q638,527,HC,6,"('9', 'Q', '6', '3', '8')","(5, 2, 8, 11, 6)",117,61659
9Q7TJ,556,HC,6,"('9', 'Q', '7', 'T', 'J')","(5, 2, 7, 4, 3)",118,65608
9K43T,487,HC,6,"('9', 'K', '4', '3', 'T')","(5, 1, 10, 11, 4)",119,57953
9K8QA,674,HC,6,"('9', 'K', '8', 'Q', 'A')","(5, 1, 6, 2, 0)",120,80880
9KAT5,547,HC,6,"('9', 'K', 'A', 'T', '5')","(5, 1, 0, 4, 9)",121,66187
T5429,60,HC,6,"('T', '5', '4', '2', '9')","(4, 9, 10, 12, 5)",122,7320
T5468,289,HC,6,"('T', '5', '4', '6', '8')","(4, 9, 10, 8, 6)",123,35547
T5Q23,47,HC,6,"('T', '5', 'Q', '2', '3')","(4, 9, 2, 12, 11)",124,5828
T79Q3,44,HC,6,"('T', '7', '9', 'Q', '3')","(4, 7, 5, 2, 11)",125,5500
T8Q6J,479,HC,6,"('T', '8', 'Q', '6', 'J')","(4, 6, 2, 8, 3)",126,60354
T958K,31,HC,6,"('T', '9', '5', '8', 'K')","(4, 5, 9, 6, 1)",127,3937
T974A,533,HC,6,"('T', '9', '7', '4', 'A')","(4, 5, 7, 10, 0)",128,68224
T9JQ4,126,HC,6,"('T', '9', 'J', 'Q', '4')","(4, 5, 3, 2, 10)",129,16254
TQ84A,595,HC,6,"('T', 'Q', '8', '4', 'A')","(4, 2, 6, 10, 0)",130,77350
TKQ56,923,HC,6,"('T', 'K', 'Q', '5', '6')","(4, 1, 2, 9, 8)",131,120913
J28K9,187,HC,6,"('J', '2', '8', 'K', '9')","(3, 12, 6, 1, 5)",132,24684
J28AK,421,HC,6,"('J', '2', '8', 'A', 'K')","(3, 12, 6, 0, 1)",133,55993
J3KA2,1,HC,6,"('J', '3', 'K', 'A', '2')","(3, 11, 1, 0, 12)",134,134
J425K,568,HC,6,"('J', '4', '2', '5', 'K')","(3, 10, 12, 9, 1)",135,76680
J6534,489,HC,6,"('J', '6', '5', '3', '4')","(3, 8, 9, 11, 10)",136,66504
J76TK,968,HC,6,"('J', '7', '6', 'T', 'K')","(3, 7, 8, 4, 1)",137,132616
J8643,766,HC,6,"('J', '8', '6', '4', '3')","(3, 6, 8, 10, 11)",138,105708
J894K,10,HC,6,"('J', '8', '9', '4', 'K')","(3, 6, 5, 10, 1)",139,1390
JT5A3,251,HC,6,"('J', 'T', '5', 'A', '3')","(3, 4, 9, 0, 11)",140,35140
JK3TQ,293,HC,6,"('J', 'K', '3', 'T', 'Q')","(3, 1, 11, 4, 2)",141,41313
JAT87,296,HC,6,"('J', 'A', 'T', '8', '7')","(3, 0, 4, 6, 7)",142,42032
Q362K,839,HC,6,"('Q', '3', '6', '2', 'K')","(2, 11, 8, 12, 1)",143,119977
Q5487,449,HC,6,"('Q', '5', '4', '8', '7')","(2, 9, 10, 6, 7)",144,64656
Q7948,429,HC,6,"('Q', '7', '9', '4', '8')","(2, 7, 5, 10, 6)",145,62205
Q8K46,474,HC,6,"('Q', '8', 'K', '4', '6')","(2, 6, 1, 10, 8)",146,69204
QT279,537,HC,6,"('Q', 'T', '2', '7', '9')","(2, 4, 12, 7, 5)",147,78939
QT2A8,92,HC,6,"('Q', 'T', '2', 'A', '8')","(2, 4, 12, 0, 6)",148,13616
QJ2K4,813,HC,6,"('Q', 'J', '2', 'K', '4')","(2, 3, 12, 1, 10)",149,121137
QK23J,599,HC,6,"('Q', 'K', '2', '3', 'J')","(2, 1, 12, 11, 3)",150,89850
QK4T6,356,HC,6,"('Q', 'K', '4', 'T', '6')","(2, 1, 10, 4, 8)",151,53756
QK6J5,111,HC,6,"('Q', 'K', '6', 'J', '5')","(2, 1, 8, 3, 9)",152,16872
QA26K,447,HC,6,"('Q', 'A', '2', '6', 'K')","(2, 0, 12, 8, 1)",153,68391
QA7JK,460,HC,6,"('Q', 'A', '7', 'J', 'K')","(2, 0, 7, 3, 1)",154,70840
K234Q,798,HC,6,"('K', '2', '3', '4', 'Q')","(1, 12, 11, 10, 2)",155,123690
K26T9,161,HC,6,"('K', '2', '6', 'T', '9')","(1, 12, 8, 4, 5)",156,25116
K4368,788,HC,6,"('K', '4', '3', '6', '8')","(1, 10, 11, 8, 6)",157,123716
K4Q56,969,HC,6,"('K', '4', 'Q', '5', '6')","(1, 10, 2, 9, 8)",158,153102
K574Q,478,HC,6,"('K', '5', '7', '4', 'Q')","(1, 9, 7, 10, 2)",159,76002
K6T59,48,HC,6,"('K', '6', 'T', '5', '9')","(1, 8, 4, 9, 5)",160,7680
K825Q,151,HC,6,"('K', '8', '2', '5', 'Q')","(1, 6, 12, 9, 2)",161,24311
K86Q7,430,HC,6,"('K', '8', '6', 'Q', '7')","(1, 6, 8, 2, 7)",162,69660
K9456,311,HC,6,"('K', '9', '4', '5', '6')","(1, 5, 10, 9, 8)",163,50693
K96AQ,548,HC,6,"('K', '9', '6', 'A', 'Q')","(1, 5, 8, 0, 2)",164,89872
KT2A7,451,HC,6,"('K', 'T', '2', 'A', '7')","(1, 4, 12, 0, 7)",165,74415
KTJ82,864,HC,6,"('K', 'T', 'J', '8', '2')","(1, 4, 3, 6, 12)",166,143424
KJ3T9,947,HC,6,"('K', 'J', '3', 'T', '9')","(1, 3, 11, 4, 5)",167,158149
KJT45,65,HC,6,"('K', 'J', 'T', '4', '5')","(1, 3, 4, 10, 9)",168,10920
KQ435,502,HC,6,"('K', 'Q', '4', '3', '5')","(1, 2, 10, 11, 9)",169,84838
KQT3A,381,HC,6,"('K', 'Q', 'T', '3', 'A')","(1, 2, 4, 11, 0)",170,64770
KA948,747,HC,6,"('K', 'A', '9', '4', '8')","(1, 0, 5, 10, 6)",171,127737
A438J,166,HC,6,"('A', '4', '3', '8', 'J')","(0, 10, 11, 6, 3)",172,28552
A4T98,560,HC,6,"('A', '4', 'T', '9', '8')","(0, 10, 4, 5, 6)",173,96880
A8Q95,555,HC,6,"('A', '8', 'Q', '9', '5')","(0, 6, 2, 5, 9)",174,96570
A92Q7,167,HC,6,"('A', '9', '2', 'Q', '7')","(0, 5, 12, 2, 7)",175,29225
A964J,371,HC,6,"('A', '9', '6', '4', 'J')","(0, 5, 8, 10, 3)",176,65296
A978Q,346,HC,6,"('A', '9', '7', '8', 'Q')","(0, 5, 7, 6, 2)",177,61242
A97KJ,926,HC,6,"('A', '9', '7', 'K', 'J')","(0, 5, 7, 1, 3)",178,164828
AT97Q,727,HC,6,"('A', 'T', '9', '7', 'Q')","(0, 4, 5, 7, 2)",179,130133
ATJKQ,767,HC,6,"('A', 'T', 'J', 'K', 'Q')","(0, 4, 3, 1, 2)",180,138060
AJ3Q9,160,HC,6,"('A', 'J', '3', 'Q', '9')","(0, 3, 11, 2, 5)",181,28960
AQ9TK,929,HC,6,"('A', 'Q', '9', 'T', 'K')","(0, 2, 5, 4, 1)",182,169078
AQKJ3,279,HC,6,"('A', 'Q', 'K', 'J', '3')","(0, 2, 1, 3, 11)",183,51057
AQKJ9,909,HC,6,"('A', 'Q', 'K', 'J', '9')","(0, 2, 1, 3, 5)",184,167256
AKJ83,100,HC,6,"('A', 'K', 'J', '8', '3')","(0, 1, 3, 6, 11)",185,18500
22768,633,1P,5,"('2', '2', '7', '6', '8')","(12, 12, 7, 8, 6)",186,117738
228JK,466,1P,5,"('2', '2', '8', 'J', 'K')","(12, 12, 6, 3, 1)",187,87142
22Q35,52,1P,5,"('2', '2', 'Q', '3', '5')","(12, 12, 2, 11, 9)",188,9776
24355,963,1P,5,"('2', '4', '3', '5', '5')","(12, 10, 11, 9, 9)",189,182007
247Q2,252,1P,5,"('2', '4', '7', 'Q', '2')","(12, 10, 7, 2, 12)",190,47880
25K2J,424,1P,5,"('2', '5', 'K', '2', 'J')","(12, 9, 1, 12, 3)",191,80984
26942,605,1P,5,"('2', '6', '9', '4', '2')","(12, 8, 5, 10, 12)",192,116160
272T4,576,1P,5,"('2', '7', '2', 'T', '4')","(12, 7, 12, 4, 10)",193,111168
29TQ2,606,1P,5,"('2', '9', 'T', 'Q', '2')","(12, 5, 4, 2, 12)",194,117564
2T535,847,1P,5,"('2', 'T', '5', '3', '5')","(12, 4, 9, 11, 9)",195,165165
2J2TQ,392,1P,5,"('2', 'J', '2', 'T', 'Q')","(12, 3, 12, 4, 2)",196,76832
2J779,824,1P,5,"('2', 'J', '7', '7', '9')","(12, 3, 7, 7, 5)",197,162328
2Q74Q,928,1P,5,"('2', 'Q', '7', '4', 'Q')","(12, 2, 7, 10, 2)",198,183744
2K267,888,1P,5,"('2', 'K', '2', '6', '7')","(12, 1, 12, 8, 7)",199,176712
2KJTJ,481,1P,5,"('2', 'K', 'J', 'T', 'J')","(12, 1, 3, 4, 3)",200,96200
2A32T,340,1P,5,"('2', 'A', '3', '2', 'T')","(12, 0, 11, 12, 4)",201,68340
322AQ,671,1P,5,"('3', '2', '2', 'A', 'Q')","(11, 12, 12, 0, 2)",202,135542
324J3,590,1P,5,"('3', '2', '4', 'J', '3')","(11, 12, 10, 3, 11)",203,119770
337QJ,397,1P,5,"('3', '3', '7', 'Q', 'J')","(11, 11, 7, 2, 3)",204,80988
33QA5,785,1P,5,"('3', '3', 'Q', 'A', '5')","(11, 11, 2, 0, 9)",205,160925
343KT,227,1P,5,"('3', '4', '3', 'K', 'T')","(11, 10, 11, 1, 4)",206,46762
34TTQ,471,1P,5,"('3', '4', 'T', 'T', 'Q')","(11, 10, 4, 4, 2)",207,97497
34QJQ,878,1P,5,"('3', '4', 'Q', 'J', 'Q')","(11, 10, 2, 3, 2)",208,182624
353AK,319,1P,5,"('3', '5', '3', 'A', 'K')","(11, 9, 11, 0, 1)",209,66671
36Q6K,69,1P,5,"('3', '6', 'Q', '6', 'K')","(11, 8, 2, 8, 1)",210,14490
37JQQ,129,1P,5,"('3', '7', 'J', 'Q', 'Q')","(11, 7, 3, 2, 2)",211,27219
38AJ8,703,1P,5,"('3', '8', 'A', 'J', '8')","(11, 6, 0, 3, 6)",212,149036
38AAJ,98,1P,5,"('3', '8', 'A', 'A', 'J')","(11, 6, 0, 0, 3)",213,20874
3T4KK,382,1P,5,"('3', 'T', '4', 'K', 'K')","(11, 4, 10, 1, 1)",214,81748
3TJ43,55,1P,5,"('3', 'T', 'J', '4', '3')","(11, 4, 3, 10, 11)",215,11825
3TJ8T,637,1P,5,"('3', 'T', 'J', '8', 'T')","(11, 4, 3, 6, 4)",216,137592
3TQQ8,625,1P,5,"('3', 'T', 'Q', 'Q', '8')","(11, 4, 2, 2, 6)",217,135625
3JTTQ,588,1P,5,"('3', 'J', 'T', 'T', 'Q')","(11, 3, 4, 4, 2)",218,128184
3JA3Q,368,1P,5,"('3', 'J', 'A', '3', 'Q')","(11, 3, 0, 11, 2)",219,80592
3K3J5,759,1P,5,"('3', 'K', '3', 'J', '5')","(11, 1, 11, 3, 9)",220,166980
3K873,994,1P,5,"('3', 'K', '8', '7', '3')","(11, 1, 6, 7, 11)",221,219674
425A2,427,1P,5,"('4', '2', '5', 'A', '2')","(10, 12, 9, 0, 12)",222,94794
4294Q,53,1P,5,"('4', '2', '9', '4', 'Q')","(10, 12, 5, 10, 2)",223,11819
42Q99,684,1P,5,"('4', '2', 'Q', '9', '9')","(10, 12, 2, 5, 5)",224,153216
433J9,411,1P,5,"('4', '3', '3', 'J', '9')","(10, 11, 11, 3, 5)",225,92475
434A9,842,1P,5,"('4', '3', '4', 'A', '9')","(10, 11, 10, 0, 5)",226,190292
44297,512,1P,5,"('4', '4', '2', '9', '7')","(10, 10, 12, 5, 7)",227,116224
4649A,264,1P,5,"('4', '6', '4', '9', 'A')","(10, 8, 10, 5, 0)",228,60192
46K43,934,1P,5,"('4', '6', 'K', '4', '3')","(10, 8, 1, 10, 11)",229,213886
46K62,64,1P,5,"('4', '6', 'K', '6', '2')","(10, 8, 1, 8, 12)",230,14720
46A67,920,1P,5,"('4', '6', 'A', '6', '7')","(10, 8, 0, 8, 7)",231,212520
473K3,899,1P,5,"('4', '7', '3', 'K', '3')","(10, 7, 11, 1, 11)",232,208568
476T7,711,1P,5,"('4', '7', '6', 'T', '7')","(10, 7, 8, 4, 7)",233,165663
484J3,26,1P,5,"('4', '8', '4', 'J', '3')","(10, 6, 10, 3, 11)",234,6084
48Q9Q,173,1P,5,"('4', '8', 'Q', '9', 'Q')","(10, 6, 2, 5, 2)",235,40655
494QA,887,1P,5,"('4', '9', '4', 'Q', 'A')","(10, 5, 10, 2, 0)",236,209332
49J48,714,1P,5,"('4', '9', 'J', '4', '8')","(10, 5, 3, 10, 6)",237,169218
49K9T,333,1P,5,"('4', '9', 'K', '9', 'T')","(10, 5, 1, 5, 4)",238,79254
4T458,501,1P,5,"('4', 'T', '4', '5', '8')","(10, 4, 10, 9, 6)",239,119739
4J274,870,1P,5,"('4', 'J', '2', '7', '4')","(10, 3, 12, 7, 10)",240,208800
4JKK5,613,1P,5,"('4', 'J', 'K', 'K', '5')","(10, 3, 1, 1, 9)",241,147733
4K98K,789,1P,5,"('4', 'K', '9', '8', 'K')","(10, 1, 5, 6, 1)",242,190938
4K9K2,962,1P,5,"('4', 'K', '9', 'K', '2')","(10, 1, 5, 1, 12)",243,233766
4KJK9,188,1P,5,"('4', 'K', 'J', 'K', '9')","(10, 1, 3, 1, 5)",244,45872
4A5TT,499,1P,5,"('4', 'A', '5', 'T', 'T')","(10, 0, 9, 4, 4)",245,122255
4AA2J,171,1P,5,"('4', 'A', 'A', '2', 'J')","(10, 0, 0, 12, 3)",246,42066
52827,570,1P,5,"('5', '2', '8', '2', '7')","(9, 12, 6, 12, 7)",247,140790
53Q5A,79,1P,5,"('5', '3', 'Q', '5', 'A')","(9, 11, 2, 9, 0)",248,19592
565K9,910,1P,5,"('5', '6', '5', 'K', '9')","(9, 8, 9, 1, 5)",249,226590
575J6,954,1P,5,"('5', '7', '5', 'J', '6')","(9, 7, 9, 3, 8)",250,238500
5935J,848,1P,5,"('5', '9', '3', '5', 'J')","(9, 5, 11, 9, 3)",251,212848
5952K,900,1P,5,"('5', '9', '5', '2', 'K')","(9, 5, 9, 12, 1)",252,226800
59Q33,364,1P,5,"('5', '9', 'Q', '3', '3')","(9, 5, 2, 11, 11)",253,92092
5T95J,255,1P,5,"('5', 'T', '9', '5', 'J')","(9, 4, 5, 9, 3)",254,64770
5TKTJ,808,1P,5,"('5', 'T', 'K', 'T', 'J')","(9, 4, 1, 4, 3)",255,206040
5QKK6,852,1P,5,"('5', 'Q', 'K', 'K', '6')","(9, 2, 1, 1, 8)",256,218112
5K4KT,233,1P,5,"('5', 'K', '4', 'K', 'T')","(9, 1, 10, 1, 4)",257,59881
5A453,906,1P,5,"('5', 'A', '4', '5', '3')","(9, 0, 10, 9, 11)",258,233748
5A6Q5,14,1P,5,"('5', 'A', '6', 'Q', '5')","(9, 0, 8, 2, 9)",259,3626
627QQ,305,1P,5,"('6', '2', '7', 'Q', 'Q')","(8, 12, 7, 2, 2)",260,79300
62ATT,270,1P,5,"('6', '2', 'A', 'T', 'T')","(8, 12, 0, 4, 4)",261,70470
63577,39,1P,5,"('6', '3', '5', '7', '7')","(8, 11, 9, 7, 7)",262,10218
6672J,201,1P,5,"('6', '6', '7', '2', 'J')","(8, 8, 7, 12, 3)",263,52863
668J7,440,1P,5,"('6', '6', '8', 'J', '7')","(8, 8, 6, 3, 7)",264,116160
66J85,790,1P,5,"('6', '6', 'J', '8', '5')","(8, 8, 3, 6, 9)",265,209350
66Q23,148,1P,5,"('6', '6', 'Q', '2', '3')","(8, 8, 2, 12, 11)",266,39368
67454,717,1P,5,"('6', '7', '4', '5', '4')","(8, 7, 10, 9, 10)",267,191439
